Title,Category,From-Tool,To-Tool,What's the same,Gotchas,Maturity
Slack → Teams,Chat,Slack,Teams,"Channels, DMs, threads, file sharing, status, integrations, search","Slack threads are first-class; Teams uses channel posts + replies which feels different. Slack = one workspace; Teams = many teams within a tenant. Slack Huddle ↔ Teams ""Meet now"". Slack Canvas ↔ Loop component.",High
Google Chat → Teams,Chat,Google Chat,Teams,"Spaces, DMs, threads, files in chat, search","Google Chat Spaces are lighter weight than Teams (no embedded SharePoint site). Google's threading is conversation-style; Teams is post-with-replies. Less integration density than Teams.",High
Mattermost → Teams,Chat,Mattermost,Teams,"Channels, DMs, threads, slash commands, integrations, self-hostable","Mattermost is open-source and federated; Teams is Microsoft-managed cloud. Slash commands ↔ Teams bot commands or Power Automate actions. Mattermost playbooks ↔ Power Automate flows.",High
Discord → Teams,Chat,Discord,Teams,"Channels, voice rooms, threads, roles, file sharing","Discord servers ↔ Teams. Voice channels (always-on) ↔ Teams ""Meet now"" (ad-hoc). Roles + permissions are richer in Discord; Teams uses M365 group membership.",Partial
Slack Huddles → Teams Meet now,Chat,Slack,Teams,"Quick voice meeting in a channel without a calendar invite","Teams ""Meet now"" is started from the channel header; Huddles are inline. Both support screenshare. Teams call recording is more enterprise-friendly.",High
Slack Canvas → Loop component,Chat,Slack,Teams,"Live-editable shared doc inside a chat","Loop components live across Teams chat, Outlook, Word, Whiteboard. Canvas is Slack-only. Loop has more block types (tables, voting, task lists).",Partial
Slack Workflow Builder → Power Automate,Automation,Slack,Power Automate,"No-code visual automation with triggers and actions","Power Automate has 1000+ connectors (vs. Slack's much smaller set). Power Automate runs anywhere in M365; Workflow Builder only inside Slack. Power Automate has approval flows + Adaptive Cards.",High
Google Drive (My Drive) → OneDrive,Storage,Google Drive,OneDrive,"Personal cloud files, sharing links, version history, search, sync client","OneDrive is strictly personal; team files belong in SharePoint. Drive blends personal + shared. Permissions in OneDrive are simpler links; SharePoint uses site groups for team files.",High
Google Drive (Shared Drive) → SharePoint document library,Storage,Google Drive,SharePoint,"Team-owned files that survive personnel changes, granular permissions","SharePoint libraries live inside SharePoint sites and have richer metadata (columns, content types). Permissions inherit from the site by default. ""Shared with me"" lives in different places (OneDrive vs SharePoint).",High
Google Docs → Word,Docs,Google Docs,Word,"Real-time collaboration, comments, suggestions, version history, share links","Word for the Web ≈ Google Docs UX. Word desktop has more advanced layout features. Track Changes (Word) ≈ Suggesting mode (Docs). Docs is browser-native; Word can fall back to desktop app.",High
Google Sheets → Excel,Docs,Google Sheets,Excel,"Cells, formulas, charts, pivot tables, conditional formatting, real-time collab","Excel formulas are deeper (LAMBDA, dynamic arrays, Power Query). Sheets is lighter, faster on simple tasks. Excel + Power Query ↔ Sheets + Apps Script for data transformation.",High
Google Slides → PowerPoint,Docs,Google Slides,PowerPoint,"Slides, themes, animations, real-time collab, presenter view","PowerPoint has richer animations and design themes. Slides is faster to load. Designer (PowerPoint AI) ↔ similar feature in Slides.",High
Gmail → Outlook,Email,Gmail,Outlook,"Email, labels/folders, filters/rules, search, signatures","Gmail labels ↔ Outlook folders + categories (subtle: a message in Gmail can have multiple labels; in Outlook it's in one folder + can have multiple categories). Outlook has Focused Inbox and richer rules.",High
Google Calendar → Outlook Calendar,Email,Google Calendar,Outlook Calendar,"Events, recurring meetings, invitees, RSVP, multiple calendars, time zone handling","Outlook tightly integrated with Teams (every meeting can become a Teams meeting). Find Time / Scheduling Assistant in Outlook ≈ Find a Time in Calendar. Outlook recurring patterns are more complex.",High
Google Forms → Microsoft Forms,Forms,Google Forms,Forms,"Multiple question types, response collection, share links, basic logic","Microsoft Forms has fewer question types but tighter Teams + Power Automate integration. Forms responses can route to a List or Excel via Power Automate. Branching logic is similar.",High
Google Sites → SharePoint Site / Pages,Storage,Google Sites,SharePoint,"Build internal pages with text, images, embedded content","SharePoint pages are richer (web parts, news, hero, embedded Lists, Power BI). Sites is simpler/easier. Permissions in SharePoint are tied to site membership; Sites uses link-share or specific users.",High
Google Keep → OneNote,Notes,Google Keep,OneNote,"Quick notes, lists, reminders, color-coding, search, mobile capture","OneNote has Notebooks → Sections → Pages structure (much deeper). Keep is flat with labels. OneNote is better for long-form; Keep is better for quick capture.",Partial
Apps Script → Power Automate,Automation,Google Workspace,Power Automate,"Automate across the suite (email, calendar, docs, sheets) with triggers","Apps Script is JavaScript code; Power Automate is no-code visual flows (Power Fx for advanced). Apps Script has deeper Workspace integration; Power Automate has 1000+ connectors. Both have time-driven and event-driven triggers.",Partial
Google Tasks → Microsoft To Do,Project Mgmt,Google Tasks,Outlook,"Personal task list with due dates, simple subtasks, reminders","To Do has lists, Today view, smart suggestions, and integration with flagged emails. Google Tasks is bare-bones by comparison. Both sync to mobile.",High
Asana → Planner,Project Mgmt,Asana,Planner,"Tasks, due dates, assignees, boards, labels, project structure","Asana has subtasks + dependencies + multiple project views (list/board/timeline) built in. Planner is simpler. ""Project for the Web"" (paid) closes the gap. Asana has richer reporting.",Partial
Trello → Planner,Project Mgmt,Trello,Planner,"Kanban boards, cards, lists/buckets, labels, due dates, attachments","Planner buckets ≈ Trello lists. Trello Power-Ups (extensions) don't have a direct equivalent — use Power Automate flows instead. Trello is simpler for solo use; Planner integrates tightly with Teams + Outlook.",High
Jira → Azure DevOps Boards,Project Mgmt,Jira,Azure DevOps Boards,"Issue tracking, sprints, backlogs, workflows, custom fields","Azure DevOps is the closest analog for engineering teams. For project coordinator use, Planner is usually enough. Jira's workflow customization is much deeper than either.",Partial
Notion → Loop + OneNote,Notes,Notion,OneNote,"Docs + databases + wikis in one tool with blocks","Loop = the live components piece. OneNote = the long-form notebook piece. SharePoint Lists = the database piece. No single Microsoft app replicates all three. Notion's all-in-one is genuinely unique.",None
Looker Studio → Power BI,Dashboards,Looker Studio,Power BI,"Connect data sources, build interactive reports, share, embed","Power BI is more powerful (DAX, semantic models, Power Query) and integrates natively with M365. Looker Studio is free and easier for quick reports. Power BI Pro license required to share/embed.",High
Google Meet → Teams Meetings,Chat,Google Chat,Teams,"Video meetings, screenshare, recording, captions, breakout rooms","Teams meetings have richer enterprise features (Together mode, PowerPoint Live, whiteboard, Loop in meeting). Meet is faster to start ad-hoc. Both support phone dial-in.",High
Zoom → Teams Meetings,Chat,Slack,Teams,"Video meetings, recording, breakouts, registration","Teams replaces Zoom for most internal use; Zoom often kept for external partners. Recording goes to OneDrive (Teams) vs Zoom Cloud. Teams breakout rooms work well; Zoom historically had richer settings.",High
Google Workspace Admin → M365 Admin Center,Identity,Google Workspace,SharePoint,"Manage users, groups, licenses, security, mobile devices","M365 admin is split across multiple consoles (M365 Admin, Entra/Azure AD, Intune, Compliance, Purview, Security). Workspace Admin is one console. Steeper learning curve in M365.",Partial
Google Groups → Microsoft 365 Groups,Identity,Google Workspace,Outlook,"Mailing lists, shared inboxes, permissions group","M365 Groups bundle a mailbox + calendar + SharePoint site + Teams team + Planner — much more than a mailing list. Workspace Groups are simpler. Distribution Lists ≠ M365 Groups; both exist in M365.",Partial
Google SSO → Entra ID (Azure AD),Identity,Google Workspace,Outlook,"Single sign-on, app authorization, MFA, conditional access","Entra has more granular conditional access policies. Both can federate with each other. SAML/OIDC standards make migration mechanical.",High
Slack /remind → (no native equivalent),Automation,Slack,Power Automate,"Schedule a future reminder for yourself or a channel","No direct ""/remind"" in Teams. Closest: Power Automate scheduled flow that posts to a channel, OR Microsoft To Do reminder on a flagged email, OR a Planner task with due date. Friction is real.",None
Loop component → Slack Canvas,Chat,Slack,Teams,"Live-editable shared block in chat",Reverse mapping: if you're going Microsoft → Google then Loop has no real Google equivalent (Canvas is Slack-only). If your Google org uses Slack you have Canvas; otherwise nothing.,Partial
